semana,tipo,sesiones,paginas_leidas
2025-03-31,comic,1,38
2025-03-31,cuentos,0,0
2025-03-31,manga,0,0
2025-03-31,novela,0,0
2025-04-07,comic,1,13
2025-04-07,cuentos,0,0
2025-04-07,manga,0,0
2025-04-07,novela,0,0
2025-04-14,comic,1,12
2025-04-14,cuentos,0,0
2025-04-14,manga,0,0
2025-04-14,novela,0,0
2025-04-21,comic,0,0
2025-04-21,cuentos,0,0
2025-04-21,manga,0,0
2025-04-21,novela,0,0
2025-04-28,comic,0,0
2025-04-28,cuentos,0,0
2025-04-28,manga,0,0
2025-04-28,novela,0,0
2025-05-05,comic,1,8
2025-05-05,cuentos,0,0
2025-05-05,manga,0,0
2025-05-05,novela,0,0
2025-05-12,comic,1,13
2025-05-12,cuentos,0,0
2025-05-12,manga,0,0
2025-05-12,novela,0,0
2025-05-19,comic,0,0
2025-05-19,cuentos,0,0
2025-05-19,manga,1,34
2025-05-19,novela,0,0
2025-05-26,comic,0,0
2025-05-26,cuentos,0,0
2025-05-26,manga,0,0
2025-05-26,novela,0,0
2025-06-02,comic,2,38
2025-06-02,cuentos,0,0
2025-06-02,manga,0,0
2025-06-02,novela,0,0
2025-06-09,comic,0,0
2025-06-09,cuentos,0,0
2025-06-09,manga,0,0
2025-06-09,novela,0,0
2025-06-16,comic,0,0
2025-06-16,cuentos,0,0
2025-06-16,manga,0,0
2025-06-16,novela,0,0
2025-06-23,comic,2,39
2025-06-23,cuentos,0,0
2025-06-23,manga,0,0
2025-06-23,novela,1,95
2025-06-30,comic,0,0
2025-06-30,cuentos,0,0
2025-06-30,manga,0,0
2025-06-30,novela,0,0
2025-07-07,comic,0,0
2025-07-07,cuentos,0,0
2025-07-07,manga,0,0
2025-07-07,novela,0,0
2025-07-14,comic,1,39
2025-07-14,cuentos,0,0
2025-07-14,manga,0,0
2025-07-14,novela,1,21
2025-07-21,comic,1,46
2025-07-21,cuentos,0,0
2025-07-21,manga,0,0
2025-07-21,novela,0,0
2025-07-28,comic,0,0
2025-07-28,cuentos,0,0
2025-07-28,manga,0,0
2025-07-28,novela,0,0
2025-08-04,comic,0,0
2025-08-04,cuentos,0,0
2025-08-04,manga,0,0
2025-08-04,novela,0,0
2025-08-11,comic,0,0
2025-08-11,cuentos,0,0
2025-08-11,manga,0,0
2025-08-11,novela,0,0
2025-08-18,comic,0,0
2025-08-18,cuentos,0,0
2025-08-18,manga,0,0
2025-08-18,novela,0,0
2025-08-25,comic,0,0
2025-08-25,cuentos,0,0
2025-08-25,manga,0,0
2025-08-25,novela,0,0
2025-09-01,comic,0,0
2025-09-01,cuentos,0,0
2025-09-01,manga,0,0
2025-09-01,novela,0,0
2025-09-08,comic,0,0
2025-09-08,cuentos,1,21
2025-09-08,manga,0,0
2025-09-08,novela,0,0
2025-09-15,comic,0,0
2025-09-15,cuentos,0,0
2025-09-15,manga,0,0
2025-09-15,novela,0,0
2025-09-22,comic,0,0
2025-09-22,cuentos,0,0
2025-09-22,manga,0,0
2025-09-22,novela,0,0
2025-09-29,comic,0,0
2025-09-29,cuentos,1,22
2025-09-29,manga,0,0
2025-09-29,novela,0,0
2025-10-06,comic,0,0
2025-10-06,cuentos,1,23
2025-10-06,manga,0,0
2025-10-06,novela,0,0
2025-10-13,comic,0,0
2025-10-13,cuentos,0,0
2025-10-13,manga,0,0
2025-10-13,novela,0,0
2025-10-20,comic,0,0
2025-10-20,cuentos,0,0
2025-10-20,manga,0,0
2025-10-20,novela,0,0
2025-10-27,comic,0,0
2025-10-27,cuentos,2,33
2025-10-27,manga,0,0
2025-10-27,novela,0,0
2025-11-03,comic,0,0
2025-11-03,cuentos,1,18
2025-11-03,manga,0,0
2025-11-03,novela,0,0
